timestamp,dst,dport,bytes,rtt_ms,status
1788187106.460170,10.0.0.100,80,3203,22.503,ok
1788187107.028850,10.0.0.100,8080,845,22.536,ok
1788187107.094985,10.0.0.100,443,2918,22.538,ok
1788187108.120304,10.0.0.100,22,275,14.812,ok
1788187110.382335,10.0.0.100,443,644,18.356,ok
1788187110.773579,10.0.0.100,22,452,20.133,ok
1788187111.041090,10.0.0.100,80,1258,16.444,ok
1788187111.467654,10.0.0.100,22,255,16.171,ok
1788187111.884205,10.0.0.100,3306,770,14.590,ok
1788187113.073692,10.0.0.100,8080,1405,15.360,ok
1788187113.883664,10.0.0.100,443,4344,16.167,ok
1788187114.064820,10.0.0.100,22,283,13.748,ok
1788187114.280665,10.0.0.100,443,5792,15.312,ok
1788187114.343577,10.0.0.100,8080,1787,16.109,ok
1788187114.832855,10.0.0.100,3306,278,14.857,ok
1788187115.690634,10.0.0.100,80,274,15.303,ok
1788187116.797266,10.0.0.100,8080,1249,17.756,ok
1788187119.305017,10.0.0.100,80,4043,16.036,ok
1788187120.260592,10.0.0.100,3306,331,16.860,ok
1788187120.787112,10.0.0.100,8080,574,19.514,ok
1788187121.249200,10.0.0.100,443,2606,15.742,ok
1788187121.574653,10.0.0.100,443,4344,15.615,ok
1788187121.832680,10.0.0.100,3306,738,15.036,ok
1788187122.238968,10.0.0.100,443,4344,15.435,ok
1788187123.509935,10.0.0.100,3306,182,12.666,ok
1788187124.381696,10.0.0.100,443,4439,14.876,ok
1788187125.471173,10.0.0.100,443,4344,15.809,ok
1788187125.618147,10.0.0.100,22,479,21.634,ok
1788187126.034126,10.0.0.100,8080,941,15.229,ok
1788187127.346101,10.0.0.100,443,3943,22.854,ok
1788187127.500358,10.0.0.100,80,515,23.448,ok
1788187129.317814,10.0.0.100,3306,834,14.130,ok
1788187129.498918,10.0.0.100,3306,575,15.010,ok
1788187131.500637,10.0.0.100,8080,434,15.756,ok
1788187132.155653,10.0.0.100,443,926,16.870,ok
1788187134.614833,10.0.0.100,443,3436,15.035,ok
1788187134.833070,10.0.0.100,443,668,14.889,ok
1788187135.860990,10.0.0.100,443,2909,22.924,ok
1788187136.098008,10.0.0.100,80,3417,16.096,ok
1788187137.597778,10.0.0.100,22,363,25.252,ok
1788187138.228798,10.0.0.100,443,4344,16.082,ok
1788187139.377364,10.0.0.100,80,1438,15.857,ok
1788187140.812554,10.0.0.100,3306,421,14.743,ok
1788187140.955688,10.0.0.100,3306,794,14.572,ok
1788187142.356441,10.0.0.100,8080,1414,16.883,ok
1788187142.826342,10.0.0.100,443,588,17.799,ok
1788187143.490567,10.0.0.100,80,3988,16.198,ok
1788187143.720372,10.0.0.100,443,2248,16.080,ok
1788187146.862110,10.0.0.100,443,5792,27.870,ok
1788187147.875232,10.0.0.100,80,910,15.379,ok
1788187149.610427,10.0.0.100,443,1401,18.858,ok
1788187150.077846,10.0.0.100,3306,466,14.519,ok
1788187150.175934,10.0.0.100,443,4139,19.197,ok
1788187150.715569,10.0.0.100,22,415,21.538,ok
1788187151.373963,10.0.0.100,80,3054,21.996,ok
1788187151.481987,10.0.0.100,22,162,16.309,ok
1788187152.153412,10.0.0.100,8080,1856,32.453,ok
1788187152.558580,10.0.0.100,443,3589,25.171,ok
1788187154.102044,10.0.0.100,8080,623,12.722,ok
1788187154.767849,10.0.0.100,443,5792,15.495,ok
1788187155.304054,10.0.0.100,3306,802,14.741,ok
1788187155.571921,10.0.0.100,22,400,18.707,ok
1788187155.771435,10.0.0.100,8080,444,19.189,ok
1788187156.626911,10.0.0.100,22,188,11.331,ok
1788187156.697594,10.0.0.100,22,431,11.013,ok
1788187159.036962,10.0.0.100,8080,1821,22.729,ok
1788187160.195911,10.0.0.100,80,490,14.770,ok
1788187164.515419,10.0.0.100,3306,658,17.612,ok
1788187164.550939,10.0.0.100,80,2611,14.874,ok
1788187165.166080,10.0.0.100,8080,1229,23.290,ok
1788187166.206787,10.0.0.100,22,394,24.592,ok
1788187166.367167,10.0.0.100,443,3986,14.840,ok
1788187166.811550,10.0.0.100,443,559,11.665,ok
1788187166.902205,10.0.0.100,22,177,12.269,ok
1788187167.958668,10.0.0.100,22,413,14.922,ok
1788187168.033644,10.0.0.100,3306,249,15.763,ok
1788187168.240385,10.0.0.100,80,843,13.331,ok
1788187168.496181,10.0.0.100,8080,1629,14.597,ok
1788187170.031435,10.0.0.100,443,4501,14.173,ok
1788187173.354382,10.0.0.100,3306,813,15.193,ok
1788187173.507701,10.0.0.100,443,4344,15.127,ok
1788187174.435470,10.0.0.100,8080,1589,14.601,ok
1788187175.507564,10.0.0.100,443,3968,16.254,ok
1788187176.178445,10.0.0.100,80,2431,14.012,ok
1788187176.873452,10.0.0.100,22,169,14.365,ok
1788187177.099666,10.0.0.100,8080,500,13.719,ok
1788187177.163555,10.0.0.100,3306,851,14.396,ok
1788187177.705022,10.0.0.100,8080,1480,14.649,ok
1788187178.156549,10.0.0.100,22,470,14.402,ok
1788187178.392773,10.0.0.100,80,1429,14.187,ok
1788187179.904120,10.0.0.100,8080,1054,14.534,ok
1788187180.229324,10.0.0.100,3306,867,14.369,ok
1788187181.067881,10.0.0.100,443,2896,34.205,ok
1788187182.302507,10.0.0.100,8080,956,11.978,ok
1788187182.485604,10.0.0.100,3306,804,22.635,ok
1788187182.587991,10.0.0.100,80,1527,15.212,ok
1788187182.872376,10.0.0.100,3306,648,14.683,ok
1788187183.230324,10.0.0.100,443,515,14.794,ok
1788187183.495162,10.0.0.100,80,340,14.076,ok
1788187183.734501,10.0.0.100,22,414,15.743,ok
1788187184.128787,10.0.0.100,80,3467,11.513,ok
1788187184.224824,10.0.0.100,80,2891,14.026,ok
1788187185.283005,10.0.0.100,443,898,14.758,ok
1788187185.482898,10.0.0.100,8080,1079,14.572,ok
1788187185.554351,10.0.0.100,8080,1655,15.231,ok
1788187185.651462,10.0.0.100,8080,1738,14.801,ok
1788187185.781597,10.0.0.100,443,4344,14.160,ok
1788187185.804935,10.0.0.100,8080,999,17.742,ok
1788187186.216888,10.0.0.100,80,2155,13.496,ok
1788187188.062187,10.0.0.100,8080,513,14.931,ok
1788187188.317996,10.0.0.100,80,969,15.145,ok
1788187188.604542,10.0.0.100,8080,1191,16.829,ok
1788187189.192613,10.0.0.100,8080,406,14.439,ok
1788187189.215474,10.0.0.100,443,4344,14.265,ok
1788187190.212428,10.0.0.100,80,409,15.274,ok
1788187190.455100,10.0.0.100,80,3509,16.605,ok
1788187191.520407,10.0.0.100,443,4673,15.260,ok
1788187191.905070,10.0.0.100,443,3047,14.907,ok
1788187193.261588,10.0.0.100,8080,888,15.451,ok
1788187193.284646,10.0.0.100,22,173,13.857,ok
1788187193.861461,10.0.0.100,443,4344,12.300,ok
1788187194.741348,10.0.0.100,22,426,19.154,ok
1788187194.814847,10.0.0.100,3306,284,14.077,ok
1788187196.117942,10.0.0.100,8080,639,12.893,ok
1788187196.478347,10.0.0.100,443,4344,13.738,ok
1788187197.499328,10.0.0.100,80,1704,14.306,ok
1788187197.652160,10.0.0.100,22,249,14.247,ok
1788187198.253791,10.0.0.100,3306,336,15.603,ok
1788187200.593164,10.0.0.100,22,215,15.354,ok
1788187201.548536,10.0.0.100,22,281,14.527,ok
1788187201.565903,10.0.0.100,8080,1651,13.914,ok
1788187203.369662,10.0.0.100,22,491,15.109,ok
1788187203.499906,10.0.0.100,3306,651,14.858,ok
1788187204.174454,10.0.0.100,443,5792,13.557,ok
1788187204.242878,10.0.0.100,3306,234,13.901,ok
1788187204.391327,10.0.0.100,22,139,14.566,ok
1788187204.515080,10.0.0.100,443,5792,13.859,ok
1788187206.638606,10.0.0.100,22,182,14.678,ok
1788187206.901057,10.0.0.100,3306,251,15.033,ok
1788187206.940728,10.0.0.100,8080,538,12.892,ok
1788187207.163818,10.0.0.100,80,3969,14.543,ok
1788187207.381742,10.0.0.100,443,3895,14.588,ok
1788187208.263654,10.0.0.100,8080,2035,13.821,ok
1788187209.034027,10.0.0.100,443,3400,15.069,ok
1788187210.077224,10.0.0.100,8080,881,13.697,ok
1788187210.643804,10.0.0.100,22,456,17.701,ok
1788187210.731513,10.0.0.100,8080,1591,14.496,ok
1788187211.734670,10.0.0.100,443,4344,15.165,ok
1788187211.983818,10.0.0.100,8080,326,13.985,ok
1788187212.180041,10.0.0.100,22,508,13.808,ok
1788187214.257246,10.0.0.100,443,5792,12.396,ok
1788187216.888703,10.0.0.100,80,2497,15.003,ok
1788187217.355574,10.0.0.100,443,5074,14.510,ok
1788187217.571595,10.0.0.100,80,2208,14.042,ok
1788187217.599013,10.0.0.100,3306,823,14.059,ok
1788187218.177317,10.0.0.100,3306,890,13.558,ok
1788187218.621851,10.0.0.100,443,1744,14.923,ok
1788187218.687293,10.0.0.100,8080,885,14.491,ok
1788187219.198469,10.0.0.100,443,867,13.964,ok
1788187219.923088,10.0.0.100,443,5792,15.200,ok
1788187220.126744,10.0.0.100,3306,550,12.782,ok
1788187221.348495,10.0.0.100,8080,1317,15.315,ok
1788187222.207007,10.0.0.100,3306,1022,14.603,ok
1788187222.463177,10.0.0.100,443,3728,14.589,ok
1788187223.176207,10.0.0.100,443,4344,15.040,ok
1788187223.551872,10.0.0.100,80,2641,14.730,ok
1788187223.921347,10.0.0.100,443,4344,14.238,ok
1788187226.141853,10.0.0.100,443,5792,15.102,ok
1788187226.725410,10.0.0.100,3306,280,14.479,ok
1788187227.049053,10.0.0.100,22,134,16.069,ok
1788187228.283644,10.0.0.100,80,2672,13.770,ok
1788187229.110652,10.0.0.100,22,219,13.868,ok
1788187229.408587,10.0.0.100,8080,700,14.161,ok
1788187230.297811,10.0.0.100,22,150,11.571,ok
1788187230.476815,10.0.0.100,22,345,13.927,ok
1788187231.829144,10.0.0.100,443,1301,16.962,ok
1788187231.851880,10.0.0.100,3306,362,18.761,ok
1788187231.948794,10.0.0.100,22,141,14.901,ok
1788187232.636593,10.0.0.100,80,587,13.907,ok
1788187233.097991,10.0.0.100,443,4171,14.440,ok
1788187233.599424,10.0.0.100,8080,1949,15.407,ok
1788187236.240288,10.0.0.100,8080,746,14.080,ok
1788187236.255641,10.0.0.100,22,364,14.784,ok
1788187236.526427,10.0.0.100,8080,560,13.473,ok
1788187237.042228,10.0.0.100,8080,1843,14.126,ok
1788187237.109013,10.0.0.100,443,4344,14.799,ok
1788187239.976691,10.0.0.100,22,412,15.359,ok
1788187241.292341,10.0.0.100,3306,631,15.879,ok
1788187241.482321,10.0.0.100,80,1838,15.005,ok
1788187241.926322,10.0.0.100,443,4344,15.262,ok
1788187241.959558,10.0.0.100,80,2887,13.881,ok
1788187242.517529,10.0.0.100,3306,975,72.650,ok
1788187242.825076,10.0.0.100,443,5792,15.383,ok
1788187243.315087,10.0.0.100,80,2538,83.998,ok
1788187244.008310,10.0.0.100,22,452,13.832,ok
1788187244.318938,10.0.0.100,3306,790,15.326,ok
1788187244.611803,10.0.0.100,22,405,18.235,ok
1788187244.747516,10.0.0.100,3306,357,14.943,ok
1788187244.888699,10.0.0.100,443,4867,15.332,ok
1788187244.968594,10.0.0.100,3306,214,14.378,ok
1788187247.684378,10.0.0.100,22,288,28.221,ok
1788187249.096480,10.0.0.100,443,2896,18.441,ok
1788187249.773010,10.0.0.100,443,2396,13.813,ok
1788187250.196239,10.0.0.100,8080,854,14.315,ok
1788187250.622078,10.0.0.100,443,4344,16.791,ok
1788187250.781124,10.0.0.100,22,456,30.909,ok
1788187252.044978,10.0.0.100,80,791,14.154,ok
1788187254.143254,10.0.0.100,80,893,17.042,ok
1788187254.276052,10.0.0.100,443,4344,16.323,ok
1788187254.780198,10.0.0.100,8080,1974,16.978,ok
1788187255.098540,10.0.0.100,3306,338,33.334,ok
1788187256.067994,10.0.0.100,443,2531,14.460,ok
1788187256.901726,10.0.0.100,80,4032,18.098,ok
1788187257.744487,10.0.0.100,22,316,28.623,ok
1788187258.019279,10.0.0.100,3306,338,18.530,ok
1788187258.567131,10.0.0.100,8080,1410,51.576,ok
1788187259.808006,10.0.0.100,3306,837,14.581,ok
1788187260.382985,10.0.0.100,8080,959,23.261,ok
1788187262.460794,10.0.0.100,80,3554,15.716,ok
1788187262.893412,10.0.0.100,8080,785,15.620,ok
1788187263.780704,10.0.0.100,3306,223,17.628,ok
1788187263.843226,10.0.0.100,80,3206,22.392,ok
1788187264.008850,10.0.0.100,80,1918,14.692,ok
1788187267.076364,10.0.0.100,3306,244,21.038,ok
1788187267.717604,10.0.0.100,3306,415,14.678,ok
1788187267.788140,10.0.0.100,8080,1446,18.732,ok
1788187268.103898,10.0.0.100,3306,959,15.583,ok
1788187268.837805,10.0.0.100,8080,1483,19.270,ok
1788187268.918486,10.0.0.100,443,5074,24.471,ok
1788187269.435297,10.0.0.100,22,242,14.206,ok
1788187269.946279,10.0.0.100,80,1912,17.449,ok
1788187270.314468,10.0.0.100,22,232,24.115,ok
1788187272.454307,10.0.0.100,443,4200,15.578,ok
1788187272.840597,10.0.0.100,443,4344,14.771,ok
1788187272.904562,10.0.0.100,22,334,15.296,ok
1788187272.968868,10.0.0.100,3306,479,25.708,ok
1788187274.705399,10.0.0.100,22,208,14.046,ok
1788187275.811282,10.0.0.100,3306,760,14.156,ok
1788187276.418704,10.0.0.100,22,372,13.668,ok
1788187276.664625,10.0.0.100,22,156,14.042,ok
1788187276.875454,10.0.0.100,22,149,14.156,ok
1788187278.834238,10.0.0.100,3306,379,16.461,ok
1788187278.922466,10.0.0.100,3306,481,15.138,ok
1788187279.158106,10.0.0.100,3306,412,12.493,ok
1788187279.615767,10.0.0.100,8080,1573,15.164,ok
1788187280.192815,10.0.0.100,8080,1720,12.991,ok
1788187280.450444,10.0.0.100,22,335,16.896,ok
1788187280.994876,10.0.0.100,443,5792,14.181,ok
1788187281.232803,10.0.0.100,22,336,16.890,ok
1788187282.219531,10.0.0.100,3306,584,16.443,ok
1788187282.760088,10.0.0.100,8080,297,14.427,ok
1788187282.913069,10.0.0.100,8080,1337,14.008,ok
1788187284.254584,10.0.0.100,443,5792,14.947,ok
1788187284.329370,10.0.0.100,8080,336,15.494,ok
1788187284.593961,10.0.0.100,22,244,14.771,ok
1788187285.003217,10.0.0.100,8080,1860,17.809,ok
1788187285.448403,10.0.0.100,80,3698,16.079,ok
1788187285.523734,10.0.0.100,80,3702,16.851,ok
1788187286.818331,10.0.0.100,8080,990,21.574,ok
1788187286.940855,10.0.0.100,8080,1078,19.631,ok
1788187286.964586,10.0.0.100,443,4338,19.073,ok
1788187287.365764,10.0.0.100,443,3420,20.781,ok
1788187287.700150,10.0.0.100,3306,502,16.727,ok
1788187288.025326,10.0.0.100,80,652,15.337,ok
1788187288.987524,10.0.0.100,22,217,14.667,ok
1788187289.557194,10.0.0.100,3306,738,14.232,ok
1788187290.428466,10.0.0.100,3306,569,14.416,ok
1788187290.576840,10.0.0.100,8080,340,15.524,ok
1788187291.704688,10.0.0.100,80,3824,13.960,ok
1788187292.000390,10.0.0.100,3306,922,14.413,ok
