timestamp,dpid,src_ip,distinct_dports,distinct_dst_ips,new_flows_per_s,active_flows,pkts_per_s,bytes_per_s,avg_bytes_per_flow,single_pkt_flow_ratio,packet_in_per_s,redirected
1788270683.112,2,10.0.0.11,4,1,1.00,0,0.00,0.00,0.0,0.000,0.00,0
1788270683.112,2,10.0.0.13,0,0,0.00,1,17.40,26308.80,131544.0,0.000,0.00,0
1788270683.112,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270685.109,1,10.0.0.12,2,1,0.80,11,124.20,458757.20,208526.0,0.000,2.50,0
1788270685.109,1,10.0.0.11,3,1,0.80,13,134.20,541337.20,208206.6,0.000,2.50,0
1788270685.109,1,10.0.0.13,0,0,0.00,1,19.80,29937.60,149688.0,0.000,2.50,0
1788270685.112,2,10.0.0.12,2,1,0.80,0,0.00,0.00,0.0,0.000,0.00,0
1788270685.112,2,10.0.0.11,3,1,0.80,0,0.00,0.00,0.0,0.000,0.00,0
1788270685.112,2,10.0.0.13,0,0,0.00,1,19.80,29937.60,149688.0,0.000,0.00,0
1788270685.112,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270687.113,1,10.0.0.12,2,1,1.20,11,129.20,456656.00,207570.9,0.000,3.00,0
1788270687.113,1,10.0.0.11,4,1,1.40,14,128.80,540980.80,193207.4,0.071,3.00,0
1788270687.113,1,10.0.0.13,0,0,0.00,1,22.00,33264.00,166320.0,0.000,3.00,0
1788270687.117,2,10.0.0.12,2,1,1.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270687.117,2,10.0.0.11,4,1,1.40,0,0.00,0.00,0.0,0.000,0.00,0
1788270687.117,2,10.0.0.13,0,0,0.00,1,22.00,33264.00,166320.0,0.000,0.00,0
1788270687.117,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270689.111,1,10.0.0.12,4,1,1.00,12,144.60,501063.60,208776.5,0.000,5.50,0
1788270689.111,1,10.0.0.11,3,1,2.40,15,146.00,583667.20,194555.7,0.067,5.50,0
1788270689.111,1,10.0.0.13,0,0,0.00,1,24.20,36590.40,182952.0,0.000,5.50,0
1788270689.114,2,10.0.0.12,4,1,1.00,0,0.00,0.00,0.0,0.000,0.00,0
1788270689.114,2,10.0.0.11,3,1,2.40,0,0.00,0.00,0.0,0.000,0.00,0
1788270689.114,2,10.0.0.13,0,0,0.00,1,24.20,36590.40,182952.0,0.000,0.00,0
1788270689.114,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270691.136,2,10.0.0.12,4,1,1.60,0,0.00,0.00,0.0,0.000,3.50,0
1788270691.136,2,10.0.0.11,3,1,2.60,0,0.00,0.00,0.0,0.000,3.50,0
1788270691.136,2,10.0.0.13,0,0,0.00,1,26.20,39614.40,198072.0,0.000,3.50,0
1788270691.136,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,3.50,0
1788270691.137,1,10.0.0.12,4,1,1.60,13,130.20,516632.40,198704.8,0.000,0.00,0
1788270691.137,1,10.0.0.11,3,1,2.60,15,150.60,583970.80,194656.9,0.067,0.00,0
1788270691.137,1,10.0.0.13,0,0,0.00,1,26.20,39614.40,198072.0,0.000,0.00,0
1788270693.117,2,10.0.0.12,3,1,1.40,0,0.00,0.00,0.0,0.000,1.00,0
1788270693.117,2,10.0.0.11,3,1,1.20,0,0.00,0.00,0.0,0.000,1.00,0
1788270693.117,2,10.0.0.13,0,0,0.00,1,28.20,42638.40,213192.0,0.000,1.00,0
1788270693.117,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,1.00,0
1788270693.118,1,10.0.0.12,3,1,1.40,13,132.00,501402.40,192847.1,0.000,0.00,0
1788270693.118,1,10.0.0.11,3,1,1.20,15,166.00,625947.20,208649.1,0.000,0.00,0
1788270693.118,1,10.0.0.13,0,0,0.00,1,28.20,42638.40,213192.0,0.000,0.00,0
1788270695.128,1,10.0.0.12,3,1,1.20,12,123.40,499664.40,208193.5,0.000,2.50,0
1788270695.128,1,10.0.0.11,4,1,1.20,15,142.80,583456.00,194485.3,0.067,2.50,0
1788270695.128,1,10.0.0.13,0,0,0.00,1,30.40,45964.80,229824.0,0.000,2.50,0
1788270695.131,2,10.0.0.12,3,1,1.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270695.131,2,10.0.0.11,4,1,1.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270695.131,2,10.0.0.13,0,0,0.00,1,30.40,45964.80,229824.0,0.000,0.00,0
1788270695.131,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270697.126,1,10.0.0.12,3,1,1.20,14,127.20,540875.20,193169.7,0.071,3.00,0
1788270697.126,1,10.0.0.11,4,1,1.40,15,162.40,600400.00,200133.3,0.000,3.00,0
1788270697.126,1,10.0.0.13,0,0,0.00,1,32.80,49593.60,247968.0,0.000,3.00,0
1788270697.130,2,10.0.0.12,3,1,1.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270697.130,2,10.0.0.11,4,1,1.40,0,0.00,0.00,0.0,0.000,0.00,0
1788270697.130,2,10.0.0.13,0,0,0.00,1,32.80,49593.60,247968.0,0.000,0.00,0
1788270697.130,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270699.123,1,10.0.0.12,5,1,1.60,14,163.00,584198.00,208642.1,0.000,6.50,0
1788270699.123,1,10.0.0.11,5,1,2.00,16,157.60,625392.80,195435.2,0.000,6.50,0
1788270699.123,1,10.0.0.13,0,0,0.00,1,35.20,53222.40,266112.0,0.000,6.50,0
1788270699.125,2,10.0.0.12,5,1,1.60,0,0.00,0.00,0.0,0.000,0.00,0
1788270699.125,2,10.0.0.11,5,1,2.00,0,0.00,0.00,0.0,0.000,0.00,0
1788270699.125,2,10.0.0.13,0,0,0.00,1,35.20,53222.40,266112.0,0.000,0.00,0
1788270699.125,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270701.122,1,10.0.0.12,4,1,1.80,15,167.80,585685.20,195228.4,0.000,3.50,0
1788270701.122,1,10.0.0.11,4,1,1.80,16,170.40,666606.40,208314.5,0.000,3.50,0
1788270701.122,1,10.0.0.13,0,0,0.00,1,37.40,56548.80,282744.0,0.000,3.50,0
1788270701.126,2,10.0.0.12,4,1,1.80,0,0.00,0.00,0.0,0.000,0.00,0
1788270701.126,2,10.0.0.11,4,1,1.80,0,0.00,0.00,0.0,0.000,0.00,0
1788270701.126,2,10.0.0.13,0,0,0.00,1,37.40,56548.80,282744.0,0.000,0.00,0
1788270701.126,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270703.132,1,10.0.0.12,5,1,1.60,16,180.40,626306.40,195720.8,0.062,3.50,0
1788270703.132,1,10.0.0.11,4,1,1.80,18,185.60,736672.80,204631.3,0.000,3.50,0
1788270703.132,1,10.0.0.13,0,0,0.00,1,39.60,59875.20,299376.0,0.000,3.50,0
1788270703.135,2,10.0.0.12,5,1,1.60,0,0.00,0.00,0.0,0.000,0.00,0
1788270703.135,2,10.0.0.11,4,1,1.80,0,0.00,0.00,0.0,0.000,0.00,0
1788270703.135,2,10.0.0.13,0,0,0.00,1,39.60,59875.20,299376.0,0.000,0.00,0
1788270703.135,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270705.128,1,10.0.0.12,5,1,1.60,17,202.60,681486.00,200437.1,0.000,3.50,0
1788270705.128,1,10.0.0.11,4,1,1.80,20,202.80,791624.80,197906.2,0.050,3.50,0
1788270705.128,1,10.0.0.13,0,0,0.00,1,41.40,62596.80,312984.0,0.000,3.50,0
1788270705.131,2,10.0.0.12,5,1,1.60,0,0.00,0.00,0.0,0.000,0.00,0
1788270705.131,2,10.0.0.11,4,1,1.80,0,0.00,0.00,0.0,0.000,0.00,0
1788270705.131,2,10.0.0.13,0,0,0.00,1,41.40,62596.80,312984.0,0.000,0.00,0
1788270705.131,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270707.130,1,10.0.0.12,4,1,1.20,16,196.60,668335.60,208854.9,0.000,1.50,0
1788270707.130,1,10.0.0.11,4,1,1.60,19,187.00,749622.00,197268.9,0.053,1.50,0
1788270707.130,1,10.0.0.13,0,0,0.00,1,43.60,65923.20,329616.0,0.000,1.50,0
1788270707.134,2,10.0.0.12,4,1,1.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270707.134,2,10.0.0.11,4,1,1.60,0,0.00,0.00,0.0,0.000,0.00,0
1788270707.134,2,10.0.0.13,0,0,0.00,1,43.60,65923.20,329616.0,0.000,0.00,0
1788270707.134,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270709.144,1,10.0.0.12,3,1,0.80,13,145.80,542102.80,208501.1,0.000,2.50,0
1788270709.144,1,10.0.0.11,4,1,1.20,17,173.00,666778.00,196111.2,0.059,2.50,0
1788270709.144,1,10.0.0.13,0,0,0.00,1,46.20,69854.40,349272.0,0.000,2.50,0
1788270709.146,2,10.0.0.12,3,1,0.80,0,0.00,0.00,0.0,0.000,0.00,0
1788270709.146,2,10.0.0.11,4,1,1.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270709.146,2,10.0.0.13,0,0,0.00,1,46.20,69854.40,349272.0,0.000,0.00,0
1788270709.146,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270711.131,1,10.0.0.12,2,1,0.80,12,134.00,459404.00,191418.3,0.083,1.50,0
1788270711.131,1,10.0.0.11,4,1,1.20,15,153.60,624537.60,208179.2,0.000,1.50,0
1788270711.131,1,10.0.0.13,0,0,0.00,1,48.00,72576.00,362880.0,0.000,1.50,0
1788270711.134,2,10.0.0.12,2,1,0.80,0,0.00,0.00,0.0,0.000,0.00,0
1788270711.134,2,10.0.0.11,4,1,1.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270711.134,2,10.0.0.13,0,0,0.00,1,48.00,72576.00,362880.0,0.000,0.00,0
1788270711.134,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270713.132,1,10.0.0.12,3,1,0.80,10,113.40,417084.40,208542.2,0.000,1.50,0
1788270713.132,1,10.0.0.11,3,1,1.00,13,136.40,541482.40,208262.5,0.000,1.50,0
1788270713.132,1,10.0.0.13,0,0,0.00,1,50.20,75902.40,379512.0,0.000,1.50,0
1788270713.135,2,10.0.0.12,3,1,0.80,0,0.00,0.00,0.0,0.000,0.00,0
1788270713.135,2,10.0.0.11,3,1,1.00,0,0.00,0.00,0.0,0.000,0.00,0
1788270713.135,2,10.0.0.13,0,0,0.00,1,50.20,75902.40,379512.0,0.000,0.00,0
1788270713.135,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270715.132,1,10.0.0.12,3,1,1.00,9,87.20,334026.40,185570.2,0.000,2.50,0
1788270715.132,1,10.0.0.11,2,1,1.00,10,97.20,416015.20,208007.6,0.000,2.50,0
1788270715.132,1,10.0.0.13,0,0,0.00,1,52.60,79531.20,397656.0,0.000,2.50,0
1788270715.135,2,10.0.0.12,3,1,1.00,0,0.00,0.00,0.0,0.000,0.00,0
1788270715.135,2,10.0.0.11,2,1,1.00,0,0.00,0.00,0.0,0.000,0.00,0
1788270715.135,2,10.0.0.13,0,0,0.00,1,52.60,79531.20,397656.0,0.000,0.00,0
1788270715.135,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270717.138,1,10.0.0.12,4,1,1.20,11,118.00,458348.00,208340.0,0.000,2.00,0
1788270717.138,1,10.0.0.11,2,1,0.60,10,100.20,416213.20,208106.6,0.000,2.00,0
1788270717.138,1,10.0.0.13,0,0,0.00,1,54.60,82555.20,412776.0,0.000,2.00,0
