timestamp,dpid,src_ip,distinct_dports,distinct_dst_ips,new_flows_per_s,active_flows,pkts_per_s,bytes_per_s,avg_bytes_per_flow,single_pkt_flow_ratio,packet_in_per_s
1788190199.868,1,10.0.0.12,4,1,2.40,22,18.60,1854.20,421.4,0.000,8.50
1788190199.868,1,10.0.0.13,1,1,0.80,1,3.00,642.00,3210.0,0.000,8.50
1788190199.868,1,10.0.0.11,4,1,2.00,22,20.40,2196.00,499.1,0.000,8.50
1788190199.870,2,10.0.0.12,4,1,2.40,0,0.00,0.00,0.0,0.000,0.00
1788190199.870,2,10.0.0.13,1,1,0.80,1,3.00,642.00,3210.0,0.000,0.00
1788190199.870,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190199.870,2,10.0.0.11,4,1,2.00,0,0.00,0.00,0.0,0.000,0.00
1788190201.866,2,10.0.0.12,4,1,1.80,0,0.00,0.00,0.0,0.000,1.50
1788190201.866,2,10.0.0.13,1,1,0.80,1,23.40,5007.60,25038.0,0.000,1.50
1788190201.866,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,1.50
1788190201.866,2,10.0.0.11,3,1,1.00,0,0.00,0.00,0.0,0.000,1.50
1788190201.866,1,10.0.0.12,4,1,1.80,20,17.40,1716.00,429.0,0.000,0.00
1788190201.866,1,10.0.0.13,1,1,0.80,1,23.40,5007.60,25038.0,0.000,0.00
1788190201.866,1,10.0.0.11,3,1,1.00,19,18.60,2012.20,529.5,0.000,0.00
1788190203.866,1,10.0.0.12,3,1,1.00,18,16.00,1604.20,445.6,0.000,3.50
1788190203.866,1,10.0.0.13,1,1,0.80,1,42.00,8988.00,44940.0,0.000,3.50
1788190203.866,1,10.0.0.11,4,1,2.00,19,18.00,1959.40,515.6,0.000,3.50
1788190203.867,2,10.0.0.12,3,1,1.00,0,0.00,0.00,0.0,0.000,0.00
1788190203.867,2,10.0.0.13,1,1,0.80,1,42.00,8988.00,44940.0,0.000,0.00
1788190203.867,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190203.867,2,10.0.0.11,4,1,2.00,0,0.00,0.00,0.0,0.000,0.00
1788190205.866,1,10.0.0.12,3,1,1.00,16,13.80,1404.40,438.9,0.062,3.00
1788190205.866,1,10.0.0.13,0,0,0.00,1,61.00,13054.00,65270.0,0.000,3.00
1788190205.866,1,10.0.0.11,5,1,2.00,21,20.60,2204.40,524.9,0.000,3.00
1788190205.867,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190205.867,2,10.0.0.12,3,1,1.00,0,0.00,0.00,0.0,0.000,0.00
1788190205.867,2,10.0.0.13,0,0,0.00,1,61.00,13054.00,65270.0,0.000,0.00
1788190205.867,2,10.0.0.11,5,1,2.00,0,0.00,0.00,0.0,0.000,0.00
1788190207.868,1,10.0.0.12,3,1,0.80,13,11.80,1245.40,479.0,0.000,1.00
1788190207.868,1,10.0.0.13,0,0,0.00,1,79.20,16948.80,84744.0,0.000,1.00
1788190207.868,1,10.0.0.11,5,1,1.60,15,14.60,1532.60,510.9,0.067,1.00
1788190207.868,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190207.868,2,10.0.0.12,3,1,0.80,0,0.00,0.00,0.0,0.000,0.00
1788190207.868,2,10.0.0.13,0,0,0.00,1,79.20,16948.80,84744.0,0.000,0.00
1788190207.868,2,10.0.0.11,5,1,1.60,0,0.00,0.00,0.0,0.000,0.00
1788190209.869,1,10.0.0.12,4,1,1.60,12,10.00,979.40,408.1,0.000,4.50
1788190209.869,1,10.0.0.13,0,0,0.00,1,100.00,21400.00,107000.0,0.000,4.50
1788190209.869,1,10.0.0.11,2,1,1.00,16,15.60,1681.20,525.4,0.000,4.50
1788190209.870,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190209.870,2,10.0.0.12,4,1,1.60,0,0.00,0.00,0.0,0.000,0.00
1788190209.870,2,10.0.0.13,0,0,0.00,1,100.00,21400.00,107000.0,0.000,0.00
1788190209.870,2,10.0.0.11,2,1,1.00,0,0.00,0.00,0.0,0.000,0.00
1788190211.871,1,10.0.0.12,3,1,1.20,11,9.40,891.20,405.1,0.000,3.00
1788190211.871,1,10.0.0.13,0,0,0.00,1,119.40,25551.60,127758.0,0.000,3.00
1788190211.871,1,10.0.0.11,4,1,2.00,19,17.60,1890.40,497.5,0.000,3.00
1788190211.872,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190211.872,2,10.0.0.12,3,1,1.20,0,0.00,0.00,0.0,0.000,0.00
1788190211.872,2,10.0.0.13,0,0,0.00,1,119.40,25551.60,127758.0,0.000,0.00
1788190211.872,2,10.0.0.11,4,1,2.00,0,0.00,0.00,0.0,0.000,0.00
1788190213.873,1,10.0.0.12,5,1,2.40,19,16.00,1573.40,414.1,0.000,7.00
1788190213.873,1,10.0.0.13,0,0,0.00,1,142.40,30473.60,152368.0,0.000,7.00
1788190213.873,1,10.0.0.11,5,1,2.20,18,16.20,1821.00,505.8,0.000,7.00
1788190213.873,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190213.873,2,10.0.0.12,5,1,2.40,0,0.00,0.00,0.0,0.000,0.00
1788190213.873,2,10.0.0.13,0,0,0.00,1,142.40,30473.60,152368.0,0.000,0.00
1788190213.873,2,10.0.0.11,5,1,2.20,0,0.00,0.00,0.0,0.000,0.00
1788190215.874,1,10.0.0.12,5,1,3.00,22,19.40,2039.40,463.5,0.000,6.00
1788190215.874,1,10.0.0.13,0,0,0.00,1,162.00,34668.00,173340.0,0.000,6.00
1788190215.874,1,10.0.0.11,5,1,2.40,21,18.40,2055.00,489.3,0.000,6.00
1788190215.875,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190215.875,2,10.0.0.12,5,1,3.00,0,0.00,0.00,0.0,0.000,0.00
1788190215.875,2,10.0.0.13,0,0,0.00,1,162.00,34668.00,173340.0,0.000,0.00
1788190215.875,2,10.0.0.11,5,1,2.40,0,0.00,0.00,0.0,0.000,0.00
1788190217.877,1,10.0.0.12,5,1,2.60,25,23.00,2331.20,466.2,0.000,4.00
1788190217.877,1,10.0.0.13,0,0,0.00,1,181.20,38776.80,193884.0,0.000,4.00
1788190217.877,1,10.0.0.11,5,1,2.80,24,21.60,2377.60,495.3,0.000,4.00
1788190217.877,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190217.877,2,10.0.0.12,5,1,2.60,0,0.00,0.00,0.0,0.000,0.00
1788190217.877,2,10.0.0.13,0,0,0.00,1,181.20,38776.80,193884.0,0.000,0.00
1788190217.877,2,10.0.0.11,5,1,2.80,0,0.00,0.00,0.0,0.000,0.00
1788190219.879,1,10.0.0.12,5,1,1.80,21,18.80,1942.20,462.4,0.048,1.00
1788190219.879,1,10.0.0.13,0,0,0.00,1,202.00,43228.00,216140.0,0.000,1.00
1788190219.879,1,10.0.0.11,5,1,1.80,21,19.60,2032.60,484.0,0.000,1.00
1788190219.880,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190219.880,2,10.0.0.12,5,1,1.80,0,0.00,0.00,0.0,0.000,0.00
1788190219.880,2,10.0.0.13,0,0,0.00,1,202.00,43228.00,216140.0,0.000,0.00
1788190219.880,2,10.0.0.11,5,1,1.80,0,0.00,0.00,0.0,0.000,0.00
1788190221.879,1,10.0.0.12,2,1,0.80,22,20.40,2079.40,472.6,0.000,3.50
1788190221.879,1,10.0.0.13,0,0,0.00,1,219.80,47037.20,235186.0,0.000,3.50
1788190221.879,1,10.0.0.11,4,1,1.80,21,19.00,1904.00,453.3,0.000,3.50
1788190221.880,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190221.880,2,10.0.0.12,2,1,0.80,0,0.00,0.00,0.0,0.000,0.00
1788190221.880,2,10.0.0.13,0,0,0.00,1,219.80,47037.20,235186.0,0.000,0.00
1788190221.880,2,10.0.0.11,4,1,1.80,0,0.00,0.00,0.0,0.000,0.00
1788190223.881,1,10.0.0.12,2,1,0.60,15,14.20,1448.00,482.7,0.000,0.50
1788190223.881,1,10.0.0.13,0,0,0.00,1,236.80,50675.20,253376.0,0.000,0.50
1788190223.881,1,10.0.0.11,4,1,1.40,20,17.60,1716.40,429.1,0.050,0.50
1788190223.881,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190223.881,2,10.0.0.12,2,1,0.60,0,0.00,0.00,0.0,0.000,0.00
1788190223.881,2,10.0.0.13,0,0,0.00,1,236.80,50675.20,253376.0,0.000,0.00
1788190223.881,2,10.0.0.11,4,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788190225.881,1,10.0.0.12,2,1,0.40,8,6.80,628.40,392.8,0.000,3.00
1788190225.881,1,10.0.0.13,0,0,0.00,1,260.60,55768.40,278842.0,0.000,3.00
1788190225.881,1,10.0.0.11,4,1,1.60,16,14.20,1337.00,417.8,0.000,3.00
1788190225.882,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190225.882,2,10.0.0.12,2,1,0.40,0,0.00,0.00,0.0,0.000,0.00
1788190225.882,2,10.0.0.13,0,0,0.00,1,260.60,55768.40,278842.0,0.000,0.00
1788190225.882,2,10.0.0.11,4,1,1.60,0,0.00,0.00,0.0,0.000,0.00
1788190227.882,1,10.0.0.12,4,1,1.40,10,8.40,794.60,397.3,0.000,6.00
1788190227.882,1,10.0.0.13,0,0,0.00,1,280.40,60005.60,300028.0,0.000,6.00
1788190227.882,1,10.0.0.11,4,1,2.40,18,15.40,1391.60,386.6,0.000,6.00
1788190227.883,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190227.883,2,10.0.0.12,4,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788190227.883,2,10.0.0.13,0,0,0.00,1,280.60,60048.40,300242.0,0.000,0.00
