timestamp,dst,dport,bytes,rtt_ms,status
1788187097.380789,10.0.0.100,443,1647,21.167,ok
1788187097.516131,10.0.0.100,22,316,14.472,ok
1788187099.413637,10.0.0.100,3306,991,14.844,ok
1788187100.836611,10.0.0.100,8080,1375,13.296,ok
1788187101.748951,10.0.0.100,8080,1067,16.027,ok
1788187102.429684,10.0.0.100,443,5394,13.872,ok
1788187103.633588,10.0.0.100,22,232,14.384,ok
1788187103.981120,10.0.0.100,443,3067,14.789,ok
1788187105.656890,10.0.0.100,8080,470,11.411,ok
1788187106.155468,10.0.0.100,8080,2017,16.551,ok
1788187107.138886,10.0.0.100,8080,447,20.221,ok
1788187107.547577,10.0.0.100,3306,597,16.171,ok
1788187108.472474,10.0.0.100,22,357,16.581,ok
1788187108.708748,10.0.0.100,80,1921,15.708,ok
1788187108.838320,10.0.0.100,3306,884,17.577,ok
1788187110.446703,10.0.0.100,8080,1774,23.645,ok
1788187110.575350,10.0.0.100,22,284,15.023,ok
1788187111.028818,10.0.0.100,22,317,18.165,ok
1788187111.310761,10.0.0.100,80,2280,14.754,ok
1788187111.379550,10.0.0.100,443,5792,13.904,ok
1788187112.213771,10.0.0.100,8080,1832,14.967,ok
1788187113.424909,10.0.0.100,22,277,12.718,ok
1788187113.633297,10.0.0.100,443,1174,24.072,ok
1788187114.037916,10.0.0.100,22,169,14.439,ok
1788187114.258657,10.0.0.100,443,4048,15.749,ok
1788187114.511818,10.0.0.100,22,409,13.983,ok
1788187114.716776,10.0.0.100,3306,416,12.798,ok
1788187114.761865,10.0.0.100,22,128,13.586,ok
1788187114.776675,10.0.0.100,443,2638,13.625,ok
1788187115.644372,10.0.0.100,80,3324,14.787,ok
1788187116.792642,10.0.0.100,443,4344,19.671,ok
1788187117.157510,10.0.0.100,3306,808,14.805,ok
1788187117.336965,10.0.0.100,80,2198,26.654,ok
1788187117.391862,10.0.0.100,8080,1244,14.221,ok
1788187118.835008,10.0.0.100,3306,617,14.577,ok
1788187118.978469,10.0.0.100,80,2004,13.016,ok
1788187120.152293,10.0.0.100,443,2660,14.656,ok
1788187120.281629,10.0.0.100,8080,1111,16.286,ok
1788187122.645838,10.0.0.100,3306,384,15.477,ok
1788187123.121672,10.0.0.100,22,192,15.209,ok
1788187123.650297,10.0.0.100,3306,278,15.066,ok
1788187126.608086,10.0.0.100,443,4344,16.641,ok
1788187127.269039,10.0.0.100,8080,1823,17.170,ok
1788187127.298672,10.0.0.100,8080,1551,16.224,ok
1788187128.536371,10.0.0.100,443,3431,17.100,ok
1788187129.043064,10.0.0.100,443,4000,14.395,ok
1788187129.115937,10.0.0.100,22,165,13.619,ok
1788187129.349353,10.0.0.100,3306,933,15.511,ok
1788187130.109069,10.0.0.100,3306,569,14.362,ok
1788187130.250991,10.0.0.100,3306,324,14.495,ok
1788187130.461512,10.0.0.100,22,226,12.084,ok
1788187131.094990,10.0.0.100,80,2854,14.378,ok
1788187131.285652,10.0.0.100,443,2072,14.851,ok
1788187131.374437,10.0.0.100,3306,764,14.296,ok
1788187132.501247,10.0.0.100,22,197,16.581,ok
1788187132.832879,10.0.0.100,443,5792,18.019,ok
1788187133.050622,10.0.0.100,22,212,15.665,ok
1788187133.502882,10.0.0.100,443,2969,15.394,ok
1788187134.907006,10.0.0.100,443,4344,14.332,ok
1788187135.414972,10.0.0.100,80,2530,13.896,ok
1788187135.959400,10.0.0.100,22,281,14.679,ok
1788187136.285952,10.0.0.100,3306,888,21.008,ok
1788187136.456303,10.0.0.100,22,301,19.265,ok
1788187136.764313,10.0.0.100,22,249,15.500,ok
1788187136.925465,10.0.0.100,80,1221,18.570,ok
1788187137.457143,10.0.0.100,8080,1949,20.499,ok
1788187137.487426,10.0.0.100,443,3768,21.686,ok
1788187137.632878,10.0.0.100,22,374,21.413,ok
1788187138.483891,10.0.0.100,80,3646,15.678,ok
1788187139.123245,10.0.0.100,22,196,17.181,ok
1788187139.210589,10.0.0.100,8080,1050,14.732,ok
1788187139.498340,10.0.0.100,443,3298,16.216,ok
1788187139.942511,10.0.0.100,3306,733,15.546,ok
1788187140.317082,10.0.0.100,22,453,18.430,ok
1788187140.873351,10.0.0.100,443,4344,13.970,ok
1788187141.470770,10.0.0.100,80,3564,14.064,ok
1788187141.898931,10.0.0.100,443,4344,16.886,ok
1788187142.096830,10.0.0.100,80,1680,15.060,ok
1788187142.534553,10.0.0.100,443,5034,13.054,ok
1788187143.022995,10.0.0.100,443,4050,16.984,ok
1788187143.382270,10.0.0.100,80,3891,13.345,ok
1788187143.412334,10.0.0.100,8080,519,15.436,ok
1788187143.966841,10.0.0.100,443,4906,24.691,ok
1788187144.217279,10.0.0.100,80,1123,11.293,ok
1788187144.584728,10.0.0.100,3306,142,26.608,ok
1788187146.026680,10.0.0.100,80,1817,16.363,ok
1788187146.088594,10.0.0.100,80,4006,19.648,ok
1788187146.392743,10.0.0.100,8080,1542,22.092,ok
1788187146.571207,10.0.0.100,3306,523,27.994,ok
1788187146.678054,10.0.0.100,3306,957,13.475,ok
1788187147.297440,10.0.0.100,80,3051,11.369,ok
1788187148.065715,10.0.0.100,80,3333,15.839,ok
1788187148.775670,10.0.0.100,443,4287,14.599,ok
1788187148.962411,10.0.0.100,22,129,16.440,ok
1788187149.339485,10.0.0.100,443,1154,14.293,ok
1788187149.687452,10.0.0.100,8080,1950,37.482,ok
1788187150.536964,10.0.0.100,80,708,33.574,ok
1788187152.542763,10.0.0.100,443,2896,30.827,ok
1788187153.437622,10.0.0.100,443,4344,23.466,ok
1788187153.525481,10.0.0.100,22,250,12.534,ok
1788187153.998109,10.0.0.100,8080,531,16.532,ok
1788187154.559366,10.0.0.100,8080,682,15.349,ok
1788187156.136292,10.0.0.100,8080,1345,14.421,ok
1788187156.432434,10.0.0.100,8080,487,17.065,ok
1788187157.364536,10.0.0.100,8080,1359,15.272,ok
1788187158.882429,10.0.0.100,3306,396,23.636,ok
1788187159.177064,10.0.0.100,3306,525,17.482,ok
1788187159.276477,10.0.0.100,3306,528,14.033,ok
1788187159.719647,10.0.0.100,22,472,13.799,ok
1788187159.880481,10.0.0.100,443,847,14.607,ok
1788187159.948858,10.0.0.100,80,3149,14.802,ok
1788187159.981550,10.0.0.100,443,2025,14.084,ok
1788187160.437278,10.0.0.100,22,503,12.640,ok
1788187160.583797,10.0.0.100,3306,582,11.904,ok
1788187161.027382,10.0.0.100,8080,1908,14.402,ok
1788187161.057564,10.0.0.100,443,4344,14.843,ok
1788187162.675055,10.0.0.100,80,1131,11.204,ok
1788187162.909412,10.0.0.100,8080,1963,15.351,ok
1788187164.335718,10.0.0.100,22,221,16.397,ok
1788187164.806345,10.0.0.100,22,388,20.493,ok
1788187166.000766,10.0.0.100,443,4344,13.989,ok
1788187167.041736,10.0.0.100,8080,1095,19.724,ok
1788187167.421689,10.0.0.100,443,3506,14.452,ok
1788187167.489536,10.0.0.100,80,1276,15.015,ok
1788187167.702144,10.0.0.100,3306,164,15.626,ok
1788187168.225636,10.0.0.100,443,4344,14.617,ok
1788187168.371316,10.0.0.100,3306,210,11.758,ok
1788187168.608775,10.0.0.100,80,3224,16.094,ok
1788187169.252219,10.0.0.100,443,653,14.539,ok
1788187170.920091,10.0.0.100,3306,459,14.044,ok
1788187171.923387,10.0.0.100,3306,953,14.633,ok
1788187171.972253,10.0.0.100,443,3009,13.387,ok
1788187172.494408,10.0.0.100,3306,220,14.072,ok
1788187173.246565,10.0.0.100,8080,1805,11.920,ok
1788187173.431321,10.0.0.100,80,2527,16.338,ok
